E_sg_MPa,D0_ABAQUS_mm,D0_PDE_mm,CalibrationFactor
80,0.136285,0.118291787224321,1.15210872367291
120,0.112309,0.0980882742986489,1.14497885504697
160,0.098545,0.0864838433177058,1.13946138630757
200,0.089484,0.0788406405240933,1.13499838922103
250,0.081673,0.0722486880668805,1.13044267218244
300,0.076122,0.0675617959646655,1.12670184255924
